Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     20402	    439481	     38403	         0	     26468	CP001941
     20403	    273116	       206	         0	     11988	BA000011
     20404	    273075	       110	         0	    256738	AL139299
     20405	    333146	       239	         0	    714128	CP004145
     20406	    263820	     10641	         0	      9068	AE017261
     20407	    416348	     18455	         0	     23008	CP001365,CP001366
     20407	   1230456	    174917	         0	    533938	AOJH
     20407	   1227482	    174918	         0	    533958	AOJG
     20407	   1227484	    174920	         0	    534498	AOJE
     20408	    362976	     17185	         0	      9988	AM180088
     20408	    768065	     49335	         0	    320578	FR746099
     20409	    309800	     12524	         0	     26488	CP001956
     20409	   1243180	    177651	         0	    516478	ANPG
     20409	   1227458	    174901	         0	    533318	AOLL
     20409	   1227459	    174903	         0	    533358	AOLJ
     20409	   1230452	    174905	         0	    533378	AOLH
     20409	   1227461	    174906	         0	    533398	AOLG
     20409	   1227463	    174908	         0	    533418	AOLE
     20409	   1227464	    174909	         0	    533438	AOLD
     20409	   1227462	    174907	         0	    533558	AOLF
     20409	    309800	    174947	         0	    533898	AOHU
     20409	    662478	    174885	         0	    534378	AOLP
     20409	    662480	    174888	         0	    534418	AOLM
     20410	    469382	     20743	         0	    240658	CP001690
     20410	    469382	    174948	         0	    534438	AOHT
     20411	    751944	     59739	         0	    314818	AGIR
     20412	     64091	       217	         0	      7608	AE004437
     20412	    478009	       106	         0	    353658	AM774415
     20413	    795797	     49517	         0	    257718	CP002062
     20413	    795797	    174946	         0	    533838	AOHV
     20414	    797209	     50445	         0	    252218	AEMG
     20414	    797209	    170085	         0	    598698	AQXI
     20415	    547559	     30691	         0	     26428	CP001932
     20415	   1227492	    174931	         0	    533718	AOIN
     20415	   1227493	    174932	         0	    534158	AOIM
     20415	    547559	    174949	         0	    534458	AOHS
     20416	    358396	     16192	         0	    343788	AGFZ
     20416	    358396	    174894	         0	    533238	AOLZ
     20417	    797304	     60135	         0	    507388	CP003377
     20417	    797304	    174939	         0	    534238	AOIC
     20418	    797303	     52951	         0	    519308	CP003372
     20418	   1227489	    174927	         0	    533698	AOIR
     20418	    797303	    174937	         0	    534218	AOIE
     20419	    543526	     30411	         0	     26128	CP001860
     20419	   1227488	    174926	         0	    534078	AOIS
     20420	    797210	     56049	         0	    288868	CP002839
     20421	    348780	     15742	         0	     26848	CR936257
     20422	    519442	     29305	         0	     24748	CP001687
     20423	   1033806	     66979	         0	    289898	AFNT
     20424	    485914	     27945	         0	     24768	CP001688
     20424	   1069082	     88127	         0	    602578	AQZY
     20425	    272569	       105	         0	     11888	AY596297
     20425	    634497	     68523	         0	    299768	CP002921,CP002922
     20425	   1227452	    174891	         0	    533198	AOLW
     20425	   1227453	    174893	         0	    533218	AOLY
     20425	   1230451	    174892	         0	    533478	AOLX
     20425	    662476	    174883	         0	    533858	AOLR
     20425	    662475	    174882	         0	    534338	AOLS
     20425	    662477	    174884	         0	    534358	AOLQ
     20427	    523846	     33689	         0	    201598	CP002278
     20428	    339860	     15579	         0	     13348	CP000102
     20429	    634498	     34681	         0	     24988	CP001719
     20430	    420247	     18653	         0	     17328	CP000678
     20430	    521002	     29303	         0	    174548	ABYV
     20430	    483214	     27821	         0	    174588	ABYW
     20430	    911121	     59655	         0	    335848	AELP
     20430	    911131	     59679	         0	    336208	AELZ
     20430	    911124	     59665	         0	    336548	AELS
     20430	    911125	     59667	         0	    336568	AELT
     20430	    911119	     59645	         0	    336828	AELN
     20430	    911116	     59547	         0	    336888	AEKU
     20430	    911130	     59677	         0	    336908	AELY
     20430	    911134	     59685	         0	    337068	AEMC
     20430	    911126	     59669	         0	    337248	AELU
     20430	    911133	     59683	         0	    337268	AEMB
     20430	    911128	     59693	         0	    337608	AELW
     20430	    911117	     59641	         0	    338108	AELL
     20430	    911129	     59675	         0	    338308	AELX
     20430	    911127	     59671	         0	    338568	AELV
     20430	    911132	     59681	         0	    338588	AEMA
     20430	    911123	     59663	         0	    338748	AELR
     20430	    911122	     59659	         0	    339088	AELQ
     20430	    911118	     59643	         0	    339188	AELM
     20430	    911120	     59649	         0	    341488	AELO
     20430	    911135	     59687	         0	    341788	AEMD
     20431	     79929	     40103	         0	    167538	CP001710
     20432	    187420	       289	         0	      9448	AE000666
     20433	    868132	     53495	         0	    248748	CP002551
     20434	    868131	     53561	    713630	    284528	CP002772
     20435	    880724	     51821	    713627	    284158	CP002737
     20436	    647171	     51819	         0	    342488	AGJL
     20437	    573063	     32611	         0	    112938	CP002009
     20438	    579137	     33047	         0	     25428	CP001787
     20439	    573064	     32615	         0	     24788	CP001696
     20440	    644281	     37943	         0	     26328	CP001901
     20440	    243232	       102	         0	    112298	L77117
     20442	    647113	     43653	    100784	    286748	CP002792
     20443	    419665	     18641	         0	     17988	CP000743
     20444	    456320	     20131	         0	    255848	CP002057
     20445	    406327	     17889	         0	     17968	CP000742
     20447	    267377	     10632	         0	     12388	BX950229
     20447	    402880	     17641	         0	     16928	CP000609
     20447	    426368	     18819	         0	     18028	CP000745
     20447	    444158	     19639	         0	     19288	CP000867
     20447	   1053692	     68579	         0	    294788	CP002913
     20448	    190192	       294	         0	      7988	AE009439
     20449	     69014	     13213	         0	     10768	AP006878
     20450	    593117	     33671	         0	     23168	CP001398
     20450	    246969	     19381	         0	    302678	CP002952
     20452	    523850	     20773	         0	     19168	CP000855
     20453	   1042877	     67883	         0	    296028	CP002920
     20454	    529709	     66055	         0	    286848	CP002779
     20455	    186497	       287	         0	      8108	AE009950
     20455	   1185654	    163827	         0	    395078	CP003685
     20456	    342949	     65431	         0	    276738	CP002670
     20457	     70601	       207	         0	     11908	BA000001
     20458	    272844	       179	         0	    256758	AL096836
     20459	    391623	     19379	         0	    240638	CP002372
     20460	    604354	     34531	         0	     23348	CP001463
     20461	    523849	     81925	         0	    357208	AHVB
     20462	    224325	       104	         0	      9468	AE000782
     20463	    572546	     32583	         0	     26088	CP001857
     20464	    589924	     33635	         0	     26308	CP001899
     20465	    693661	     51621	    713598	    254528	CP002588
     20466	    410358	     18109	         0	     16568	CP000559
     20467	    323259	     13015	         0	     14248	CP000254
     20468	    679926	     40773	     17400	    170678	CP002117
     20469	    937775	     61291	         0	    331378	AHKP
     20470	    368407	     16330	         0	     16628	CP000562
     20471	    521011	     29381	         0	     22768	CP001338
     20472	    456442	     18505	         0	     18428	CP000780
     20473	    882090	     62035	         0	    319268	AGIY
     20474	    351160	     19641	         0	    354128	AM114193
     20475	   1041930	     73221	         0	    360568	CP003243
     20476	    304371	     20361	         0	     11808	AP011532
     20477	   1110509	     76151	         0	    315968	CP003117
     20478	    349307	     15765	         0	     15748	CP000477
     20479	    990316	     63185	         0	    266758	CP002565
     20480	    269797	       103	         0	    256718	CP000099
     20481	    188937	       290	         0	      8148	AE010299
     20482	    192952	       300	         0	      7868	AE008384
     20482	   1236903	    176295	         0	    541758	CP004144
     20483	    644295	     37945	         0	    257478	CP002069
     20484	    679901	     40771	         0	    289708	CP002101
     20485	    547558	     30711	         0	     26668	CP001994
     20486	    259564	      9634	         0	     14528	CP000300
     21313	   1194088	    170959	         0	    424728	ALWQ
     21313	   1227465	    174912	         0	    533458	AOJK
     21313	   1230455	    174911	         0	    533598	AOJJ
     21313	   1227467	    174914	         0	    533638	AOJM
     21313	   1227468	    174915	         0	    533918	AOJN
     21313	   1227483	    174919	         0	    533978	AOJF
     21313	   1227486	    174922	         0	    534018	AOIW
     21314	    523841	     43185	         0	    446838	CP001868
     21314	    523841	    174886	         0	    533878	AOLO
     21315	   1210908	    170600	         0	    404908	ALJD
     21316	   1132509	     80845	         0	    371798	AJRK
     21316	   1132509	    174896	         0	    533258	AOMB
     21317	    406552	     89473	         0	    402938	CP003412
     21317	   1227494	    174934	         0	    533738	AOIK
     21317	   1230459	    174935	         0	    533758	AOIJ
     21317	   1227495	    174936	         0	    534198	AOII
     21318	     28892	     52839	         0	    399208	AGCO
     21319	   1201294	    170845	         0	    440018	HE964772
     21320	   1094980	     74005	         0	    446358	CP003083
     21321	   1214066	    171363	         0	    507718	BAGX
     21321	    224719	    157813	         0	    695878	CP004050
     21322	   1204725	    169610	         0	    438328	AMPO
     21323	   1151117	     85543	         0	    368938	AJLF
     21324	    163003	    167371	         0	    383768	CP003651
     21325	   1183377	    162927	         0	    381428	CP003534
     21326	   1175296	    159487	         0	    450488	CAJE
     21327	   1236689	    175948	         0	    605048	CP004049
     22007	   1333523	    202311	         0	    695078	CP005962
     22008	    797302	     59897	         0	    516998	CP003050
     22008	   1227490	    174928	         0	    534098	AOIQ
     22009	   1227491	    174929	         0	    534118	AOIP
     22009	     29540	    174930	         0	    534138	AOIO
     22009	   1230458	    174933	         0	    534178	AOIL
     22010	   1227497	    174940	         0	    534258	AOIB
     22011	    694430	     46985	         0	    517338	CP003929
     22012	   1227498	    174941	         0	    534278	AOIA
     22013	   1227499	    174942	         0	    533798	AOHZ
     22014	   1114856	    174945	         0	    533818	AOHW
     22014	   1114856	     85145	         0	    610638	ARPH
     22015	   1227500	    174943	         0	    534298	AOHY
     22016	   1230460	    174944	         0	    534318	AOHX
     22017	   1230457	    174925	         0	    534058	AOIT
     22019	   1227496	    174938	         0	    533778	AOID
     22021	   1227454	    174895	         0	    534478	AOMA
     22022	    931277	    174897	         0	    533278	AOMC
     22023	   1227457	    174900	         0	    533298	AOMF
     22024	   1227455	    174898	         0	    533498	AOMD
     22025	   1227456	    174899	         0	    533518	AOME
     22026	    797114	    174924	         0	    534038	AOIU
     22027	   1261545	    203272	         0	    689518	BANO
     22028	   1227481	    174916	         0	    533658	AOJO
     22028	   1227485	    174921	         0	    533998	AOJD
     22029	   1227466	    174913	         0	    533618	AOJL
     22029	   1121945	    188910	         0	    730248	ATXS
     22030	   1230454	    174910	         0	    533578	AOJI
     22031	   1230453	    174902	         0	    533338	AOLK
     22031	   1227460	    174904	         0	    533538	AOLI
     22032	    662479	    174887	         0	    534398	AOLN
     22033	   1227487	    174923	         0	    533678	AOIV
     22034	    673860	     73039	         0	    515658	CP003168
     22035	   1054217	     68695	         0	    566338	CP002916
     22037	   1295009	    189659	         0	    695918	CP005934
     22038	    593750	     63567	         0	    515638	CP003167
     22039	    867904	     50749	         0	    517318	CP003362
     22040	    387631	    196460	   2028569	    643168	CP005290
     22041	   1069083	    194097	         0	    582608	APMM
     22041	   1069083	     82617	         0	    592648	AQUK
     22042	    523845	    182394	         0	    599208	AQXV
     22043	   1220534	    172217	         0	    453098	AMGN
