Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     20730	    403833	     17679	         0	     19408	CP000879
     20731	    391009	     17249	         0	     17708	CP000716
     20732	    484019	     27767	         0	     22088	CP001185
     20732	   1161912	     89449	         0	    429068	AJIP
     20733	    381764	     16719	         0	     18348	CP000771
     20734	    771875	     60139	         0	    367748	CP003260
     20735	    309803	     21023	         0	     19748	CP000916
     20737	    243274	       111	         0	      9348	AE000512
     20737	    390874	     17089	         0	     17588	CP000702
     20737	    126740	     19543	         0	     20428	CP000969
     20737	    590168	     33663	         0	     25908	CP001839
     20737	    243274	     63051	         0	    332748	AGIJ
     20737	   1157949	     87045	         0	    420518	AJII
     20737	    243274	    185601	         0	    671058	CP004077
     20738	    416591	     15644	         0	     18668	CP000812
     20739	    688269	     41517	         0	    289078	CP002351
     20740	    521045	     29419	         0	     24128	CP001634
     20741	    443254	     66025	         0	    364888	CP003257
     21371	    660470	     48995	     25417	    380678	CP003532
     21371	   1236045	    195579	         0	    592218	CARH
