Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     21040	    469381	     20741	         0	    214198	ABTR
     21041	    352165	     34581	         0	    222638	ADFP
     21042	    645512	     33111	         0	    194738	ACOO
     21042	    885272	     63635	         0	    321858	AGRU
     21043	    457415	     39419	         0	    321808	ACUH
     21044	    584708	     33371	         0	    252998	AEIV
     21045	    525903	     29531	         0	     25708	CP001818
     21046	    926567	     65505	         0	    321848	AHGV
     21047	    572547	     32587	         0	     26688	CP001997
     21048	    592015	     33123	         0	    191658	ACJX
     21049	    580340	     33163	         0	    313488	CP003096
     21447	    891968	     53351	         0	    385568	CP003198
     22290	    651822	     45959	         0	    273278	FP929056
     22291	   1104568	    192391	         0	    694288	AQRZ
