Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     20996	    929563	     60435	         0	    329888	AHKT
     20997	    355278	     16153	         0	     18408	CP000777,CP000778
     20997	    456481	     20133	         0	     18488	CP000786,CP000787
     20997	   1193051	    167225	         0	    439748	AKXE
     20997	   1218585	    177157	         0	    558128	ANIL
     20997	   1257025	    178717	         0	    581588	AOGW
     20997	   1218591	    177160	         0	    581608	AOGY
     20997	   1249483	    178716	         0	    687878	AOGX
     20997	   1218599	    177156	         0	    688038	AOGZ
     20998	   1001595	    167231	         0	    445898	AKWY
     20998	   1001593	     65053	         0	    457748	AFLY
     20998	   1218586	    177135	         0	    557348	AOHH
     20998	   1193054	    167238	         0	    566908	AOUB
     20998	   1193055	    167239	         0	    566928	AOUC
     20998	   1193041	    167257	         0	    570268	AKWD
     20998	   1193053	    167228	         0	    570628	AKXB
     20998	   1085538	     74155	         0	    571278	AHOI
     20998	   1049974	     74045	         0	    571418	AHMH
     20998	   1085540	     74169	         0	    571478	AHOP
     20998	   1049973	     74041	         0	    718548	AHMF
     20999	    267671	     10687	         0	      8488	AE016823,AE016824
     20999	    189518	       293	         0	    113198	AE010300,AE010301
     20999	    573825	     32553	         0	    310748	CP001221,CP001222
     20999	    996824	     63745	         0	    345208	AFKC
     20999	    996827	     63751	         0	    345288	AFKF
     20999	    996831	     63759	         0	    345328	AFKJ
     20999	    996828	     63753	         0	    345368	AFKG
     20999	    996853	     63805	         0	    345388	AFLF
     20999	    996829	     63755	         0	    345428	AFKH
     20999	    996830	     63757	         0	    345448	AFKI
     20999	    996825	     63747	         0	    345528	AFKD
     20999	    996837	     63771	         0	    345548	AFKP
     20999	    996823	     63743	         0	    345628	AFKB
     20999	    996859	     63817	         0	    345648	AFLL
     20999	    996860	     63819	         0	    345708	AFLM
     20999	    996848	     63795	         0	    345808	AFLA
     20999	    996861	     63821	         0	    345888	AFLN
     20999	    996836	     63769	         0	    345928	AFKO
     20999	    996851	     63801	         0	    345968	AFLD
     20999	    996846	     63791	         0	    346028	AFKY
     20999	   1001602	     65079	         0	    346108	AFMI
     20999	    996847	     63793	         0	    346128	AFKZ
     20999	   1001986	     65075	         0	    346148	AFMG
     20999	   1001987	     65077	         0	    346228	AFMH
     20999	    996816	     63729	         0	    346268	AFJU
     20999	    996811	     63719	         0	    346288	AFJP
     20999	    996822	     63741	         0	    346328	AFKA
     20999	    996849	     63797	         0	    346348	AFLB
     20999	    996809	     63827	         0	    346628	AFLQ
     20999	    996812	     63721	         0	    346648	AFJQ
     20999	    996834	     63765	         0	    346788	AFKM
     20999	    996850	     63799	         0	    346828	AFLC
     20999	    996856	     63811	         0	    347048	AFLI
     20999	    996841	     63779	         0	    347108	AFKT
     20999	    996854	     63807	         0	    347148	AFLG
     20999	    996838	     63773	         0	    347228	AFKQ
     20999	    996839	     63775	         0	    347328	AFKR
     20999	    996858	     63815	         0	    347368	AFLK
     20999	    996857	     63813	         0	    347608	AFLJ
     20999	    996814	     63725	         0	    347708	AFJS
     20999	    996832	     63761	         0	    347768	AFKK
     20999	    996845	     63789	         0	    347828	AFKX
     20999	    996835	     63767	         0	    347848	AFKN
     20999	    996833	     63763	         0	    347868	AFKL
     20999	    996844	     63787	         0	    347928	AFKW
     20999	    996862	     63825	         0	    347988	AFLP
     20999	    996813	     63723	         0	    348228	AFJR
     20999	   1001603	     65081	         0	    348308	AFMJ
     20999	    996840	     63777	         0	    348508	AFKS
     20999	    996843	     63785	         0	    348588	AFKV
     20999	    996863	     63829	         0	    348608	AFLR
     20999	    996842	     63781	         0	    348868	AFKU
     20999	    996821	     63739	         0	    349368	AFJZ
     20999	    996810	     63717	         0	    349428	AFJO
     20999	    996852	     63803	         0	    350248	AFLE
     20999	   1001586	     65041	         0	    423188	AFLS
     20999	   1049946	     74049	         0	    423298	AHMJ
     20999	   1049924	     74051	         0	    423318	AHMK
     20999	   1049931	     74077	         0	    423338	AHMX
     20999	   1085548	     74177	         0	    430678	AHPR
     20999	   1085547	     74179	         0	    430698	AHPS
     20999	   1085545	     74181	         0	    430718	AHPT
     20999	   1085546	     74183	         0	    430738	AHPU
     20999	   1085544	     74185	         0	    430758	AHPV
     20999	   1049926	     74187	         0	    430778	AHPW
     20999	   1049802	     74189	         0	    430798	AHPX
     20999	   1049801	     74191	         0	    430818	AHPY
     20999	   1049944	     74193	         0	    430838	AHPZ
     20999	   1049943	     74195	         0	    430868	AHQA
     20999	   1049911	     74197	         0	    430888	AHQB
     20999	   1049912	     74199	         0	    430908	AHQC
     20999	   1049913	     74201	         0	    430928	AHQD
     20999	   1049805	     74203	         0	    430948	AHQE
     20999	   1049803	     74205	         0	    430968	AHQF
     20999	   1049969	     74207	         0	    430988	AHQG
     20999	   1049815	     74209	         0	    431008	AHQH
     20999	   1049962	     74211	         0	    431028	AHQI
     20999	   1049961	     74213	         0	    431058	AHQJ
     20999	   1085542	     74219	         0	    431118	AHQM
     20999	   1085543	     74221	         0	    431138	AHQN
     20999	   1049820	     74223	         0	    431158	AHQO
     20999	   1049907	     74225	         0	    431178	AHQP
     20999	   1049909	     74227	         0	    431208	AHQQ
     20999	   1049908	     74229	         0	    431228	AHQR
     20999	   1049814	     74231	         0	    431268	AHQS
     20999	   1049821	     74235	         0	    431308	AHQU
     20999	   1049807	     74237	         0	    431338	AHQV
     20999	   1049921	     74239	         0	    431358	AHQW
     20999	   1049947	     74245	         0	    431428	AHQZ
     20999	   1193050	    167243	         0	    452098	AKWQ
     20999	   1193047	    167253	         0	    452348	AKWH
     20999	   1193018	    167223	         0	    452368	AKXG
     20999	   1193014	    167235	         0	    452388	AKWU
     20999	    996802	     63709	         0	    452428	AFJK
     20999	   1049966	     74079	         0	    452448	AHMY
