Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     21085	    414004	       202	         0	    353318	DP000238
     21086	    436308	     19265	         0	     19268	CP000866
     21087	    886738	     52465	         0	    270728	AEGP
     21088	   1001994	     67913	         0	    295428	AFPU
     21451	   1237085	     60505	         0	    438918	CP002408
     21452	   1229909	    174388	         0	    427498	CP003843
     21453	   1229908	    174387	         0	    427478	CP003842
     21453	   1027373	     66411	         0	    519388	AJVJ
     21453	   1027374	     66413	         0	    519408	AJVI
     22304	   1131266	    165501	         0	    686798	ARWQ
