Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     20707	    648996	     49403	    713575	    239308	CP002444
     20708	    868864	     51497	    713591	    247878	CP002543
     20709	    123214	     12526	         0	     22368	CP001230
     20710	    204536	     12529	         0	     22348	CP001229
     20711	    436114	     18889	         0	     21128	CP001080
     20712	    380749	     18891	         0	     21588	CP001130
     20712	    547144	     41741	         0	    548758	CP004347
     20712	    547146	     39709	         0	    561108	CP004390
     20713	    638303	     37275	         0	     26408	CP001931
     20714	    608538	     34131	         0	     11588	AP011112
     20714	    608538	     41547	    191234	    199818	CP002221
     20715	    392423	     19313	         0	    212118	ABHJ
     20716	    224324	       215	         0	      9428	AE000657
     22120	   1158318	    187106	         0	    729908	ATXC
