Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     19233	    334380	     18983	         0	     11008	AP008981
     19233	    357244	     16180	         0	    353908	AM494475
     19234	    336407	     13996	         0	     13188	CP000087
     19234	    391896	     17237	         0	     19048	CP000849
     19235	    449216	     19813	         0	     23588	CP001584
     19235	    272947	        43	         0	    256558	AJ235269
     19235	   1105094	     74999	         0	    397618	CP003391
     19235	   1105095	     75001	         0	    397638	CP003392
     19235	   1105096	     75003	         0	    397658	CP003393
     19235	   1105097	     75005	         0	    397678	CP003394
     19235	   1105098	     75007	         0	    397698	CP003395
     19235	   1105099	     75009	         0	    397718	CP003396
     19235	   1290427	    188523	   1983875	    582638	CP004888
     19235	   1290428	    188530	   1983876	    591868	CP004889
     19235	   1290429	    188531	   1983877	    611028	APMN
     19235	   1290430	    188532	   1983878	    611048	APMO
     19236	    257363	     10679	         0	      8848	AE017197
     19236	   1003201	     65219	         0	    397738	CP003397
     19236	   1003202	     65221	         0	    397758	CP003398
     19237	    293613	     12952	         0	     15148	CP000409
     19237	   1105107	     75029	         0	    407358	CP003304
     19238	    293614	     12953	         0	     19008	CP000847
     19239	   1105114	     75045	         0	    407878	CP003340
     19241	    416276	     18271	         0	     17428	CP000683
     19241	   1105112	     75039	         0	    407258	CP003319
     19241	   1105111	     75043	         0	    407638	CP003334
     19241	   1105113	     75041	         0	    407678	CP003342
     19245	   1196662	    167984	         0	    392728	AKVZ
     19245	   1105110	     75037	         0	    407838	CP003338
     19246	    444612	     33979	         0	    192218	ACLC
     19247	    315456	     13884	         0	     12948	CP000053
     19248	    391592	     19293	         0	    209858	ABCJ
     19249	    598659	     32573	         0	     22528	CP001279
     19250	    182217	     97501	         0	    372058	CP003479
     19250	   1163745	     97499	         0	    372078	CP003481
     19251	    382638	     17251	         0	     10108	AM260522
     19252	     85962	       233	         0	      9328	AE000511
     19252	     85963	       234	         0	      9588	AE001439
     19252	    290847	      9627	         0	     12528	CP000012
     19252	    357544	     16183	         0	     14048	CP000241
     19252	    512562	     29045	         0	     21048	CP001072
     19252	    563041	     31341	         0	     21968	CP001173
     19252	    570508	     32291	         0	     22268	CP001217
     19252	    684950	     39507	         0	     24608	CP001680
     19252	    637913	     36609	         0	    113818	CP001582
     19252	    869727	     50869	         0	    171618	CP002184
     19252	    765962	     49025	         0	    171858	CP002073
     19252	    765963	     49027	         0	    171878	CP002074
     19252	    765964	     49029	         0	    171898	CP002076
     19252	    794851	     49453	         0	    171918	CP002071
     19252	    592205	     39685	         0	    172098	FM991728
     19252	    544405	     30395	         0	    214118	ABSX
